Species	Reads	Theoretical_Abundance(%)
Collinsella aerofaciens	14082	0.589562
Prevotella bivia	14069	0.589017
Bifidobacterium longum subsp. longum JCM 1217	13653	0.571601
Aggregatibacter aphrophilus	13468	0.563856
Rothia mucilaginosa	13353	0.559041
Streptococcus sanguinis	13156	0.550793
Streptococcus salivarius JIM8777	12768	0.534549
Veillonella rogosae	12747	0.533670
Fusobacterium nucleatum subsp. nucleatum ATCC 25586	12709	0.532079
Streptococcus parasanguinis ATCC 15912	12660	0.530028
Streptococcus australis	12578	0.526595
Streptococcus gordonii	12569	0.526218
Haemophilus pittmaniae	12521	0.524208
Lachnospira eligens ATCC 27750	12379	0.518263
Haemophilus parainfluenzae	12357	0.517342
Streptococcus sp. LPB0220	12312	0.515458
Veillonella parvula	12283	0.514244
Veillonella nakazawae	12282	0.514202
Veillonella atypica	12057	0.504782
Veillonella orientalis	12027	0.503526
Bifidobacterium adolescentis ATCC 15703	12007	0.502689
Haemophilus parahaemolyticus	11989	0.501935
Streptococcus koreensis	11704	0.490004
Streptococcus vestibularis	11339	0.474722
Haemophilus haemolyticus	11337	0.474639
Streptococcus intermedius	11230	0.470159
Streptococcus oralis	11106	0.464968
Streptococcus anginosus	11055	0.462832
Streptococcus mitis	11027	0.461660
Haemophilus influenzae	11004	0.460697
Campylobacter concisus	10710	0.448388
Pediococcus pentosaceus ATCC 25745	10670	0.446714
Gemella sanguinis	10416	0.436080
Mogibacterium diversum	10395	0.435201
Streptococcus thermophilus	10328	0.432395
Peptoniphilus lacrimalis	9796	0.410123
Gardnerella vaginalis ATCC 14018 = JCM 11026	9649	0.403968
Fenollaria massiliensis	9440	0.395218
